Peak ID,lnk0,S,k0
1,-2.41,23.99,0.089815294572248
2,3.11,13.21,22.4210444007463
3,3.14,12.35,23.1038668587222
4,3.82,12.23,45.6042083208487
5,1.21,16.08,3.35348465254902
6,1.5,15.49,4.48168907033806
7,1.61,15.74,5.00281122783359
8,1.86,14.64,6.42373677142913
9,2.15,14.3,8.58485839717789
10,2.15,9.49,8.58485839717789
11,1.91,2.72,6.75308879853129
12,2.51,11.52,12.3049300605104
13,2.8,14.21,16.444646771097
14,2.94,14.13,18.915846312255
15,3.04,13.17,20.9052432350928
16,2.99,11.67,19.8856824915647
17,3.34,13.51,28.2191267054086
